sentiment,text_clean
0,man valley
0,sorry maybe posted stuff
4,finished board
4,yeah saw
0,sadness high total
4,saturday morning weekend
0,twitter never want
0,phone work cough bad tonight sleep cause
4,thought supposed
4,ordered pizza first
4,watching live main
0,swine flu damn virus country classes
4,hello
0,much love lot catching fire send
0,guess though since
4,hey seeing strange also follow
4,
4,read
0,miss lot
4,please come
0,
0,hey feeling hot ugh hate sick
0,heart
4,
0,slept bad watching
4,saw seem wear white jeans
0,sorry hear rough days suck hope tomorrow better
4,thanks following
0,boston though
4,looking forward share beautiful india
4,max cute
0,taken life need spare play cos keep running battery
4,follower scary well take care
0,monday gone suck miss family together god ill cell
4,morning eat something
4,need
0,wait june miami though maybe next
0,make sad maybe stop keep
0,need
4,cool cool
0,net badly
4,wasnt almost dont keep
4,meeting someone tonight show read lots cute make baby
4,
0,two fish fight lost damn fish think free
4,design would choose apple considering new system
0,keep getting error happening yesterday please
4,voting course
4,king
0,name fail win finding jeans
0,really sick
0,
0,see even little bit love
4,album lake city amazing wild life
0,would send beach close
4,glad tell
0,worried
4,check new job project sorry right
0,woo girl married woo
4,great night best friend bit little knowing life way
0,work everyone think infection
0,
0,definitely everything need better though
4,used watch
0,way school laundry
0,though
0,sadly even year
0,fed rain
4,morning tell sun finally june came yesterday yeah interesting
0,need sleep morning
4,summer full exciting
4,calm whole thing
0,pound bus bad bad bad hope bring bad luck
4,also training overall super excited
0,drop
0,dream sent alarm went read
0,papa need
0,sad video true poor people
4,didnt think neighbor
0,tell fell
0,stop depressed stuff
0,double nothing days
4,holding breath yes think thank help
4,
4,gig tomorrow sunshine
0,low rainy look anywhere
0,dog
4,breakfast
0,
0,freak plan big spend much energy making sure everyone else happy forget
0,need stop getting horrible
0,riding sad phone
0,dude tomorrow fry heat
0,awake great beach bad
0,bought love
4,laundry cleaning wait tomorrow
0,let drink
0,
0,wish someone actually late lonely
0,sun new drinking beer guitar singing inside
4,
0,feel want sleep
0,really would whole dont think dont due
0,see keep mouth live
0,morning awake miss though
0,cousin twitter
0,finally saw puppy little fine miss
0,saw shop also wearing really thin cold sad
0,well lucky never even
4,made laugh lot
0,thinking bed woo
0,kids fall sick random times live forever fair man
0,tweet link went picture question ugh hate people set people really sorry
4,great
0,link work came
0,remember many kitty wonder coming
0,doesnt twitter
0,angry angry choice
4,yes man always rise brother
4,love smell rain behind
4,
0,rainy stay inside book
0,room
0,fever falling
0,agree long week summer party chilling beach
0,cant phone til thursday still though
4,agree smile
4,fun nice
0,
0,demi come philippines
0,headache
4,fun fair
4,dont wont say anything bitch much well pass
0,computer epic fail need goes rest weekend
4,thanks sam wish could
0,yeah hope waiting many times want win anything
0,side missing bed may pass pool tomorrow home pool
4,hey girl thanks add
0,
4,morning work already getting tough sun shining
0,days
0,walk pain old person stupid miles
4,sweet thanks late twitter
0,want home right want beach
0,girl hope soon would try
4,evil laugh wife look shoulder
0,really asleep
4,bad sun
4,yeah sure great stuff think
0,wonder last
0,tried text error
4,big fan
0,wont let read need sign
0,last game season pass weekend
4,still done tomorrow another sleep
4,done dentist november
4,add everyone train pay vip
4,yeah goes usually read book catch live version
0,restaurant city
4,bread let visit toast
0,many
4,kitten sleep shoulder step
4,love
4,road trip great beach really green beautiful
4,bit miss already
4,falling love
4,well keep
0,nose need sleep cause body god damn
4,mum bought new bless loud said bought
0,definitely exam next
0,watching giving rest evening work tomorrow
4,happy way thing
0,miss june gone
0,figure feel old pick
0,think mine start soon well
4,came trip
0,seeing
0,done leave tomorrow morning really upset stuff missing weekend
0,running sorry
4,watching big bang
4,give project headache
0,fell tonight concert
